month_end,month_end_close,ath_close,drawdown_pct,monthly_return_pct,regime,year,month,year_month
2014-09-30,386.9440002441406,386.9440002441406,0.0,,bull,2014,9,2014-09
2014-10-31,338.3210144042969,386.9440002441406,-12.565897341518484,-12.565897341518484,bull,2014,10,2014-10
2014-11-30,378.0469970703125,386.9440002441406,-2.2992999421659444,11.742097290634955,bull,2014,11,2014-11
2014-12-31,320.1929931640625,386.9440002441406,-17.250818474498086,-15.303389354919227,bull,2014,12,2014-12
2015-01-31,217.4640045166016,386.9440002441406,-43.799618451405465,-32.08345930131706,bear,2015,1,2015-01
2015-02-28,254.26300048828125,386.9440002441406,-34.28945782132424,16.921879119020055,bear,2015,2,2015-02
2015-03-31,244.2239990234375,386.9440002441406,-36.883890467523614,-3.948274599751067,bear,2015,3,2015-03
2015-04-30,236.1450042724609,386.9440002441406,-38.97178813382136,-3.3080265589301328,bear,2015,4,2015-04
2015-05-31,230.19000244140625,386.9440002441406,-40.510770991107535,-2.5217564307157048,bear,2015,5,2015-05
2015-06-30,263.0719909667969,386.9440002441406,-32.01290346902581,14.284716180825697,bear,2015,6,2015-06
2015-07-31,284.6499938964844,386.9440002441406,-26.43638518315681,8.202318631636807,bear,2015,7,2015-07
2015-08-31,230.05599975585935,386.9440002441406,-40.54540201923107,-19.179341405669813,bear,2015,8,2015-08
2015-09-30,236.05999755859372,386.9440002441406,-38.993756871885154,2.6097984008702113,bear,2015,9,2015-09
2015-10-31,314.1659851074219,386.9440002441406,-18.808410284382184,33.087345741177955,bull,2015,10,2015-10
2015-11-30,377.3210144042969,386.9440002441406,-2.4869195112915965,20.10244020379246,bull,2015,11,2015-11
2015-12-31,430.5669860839844,430.5669860839844,0.0,14.111583942323126,bull,2015,12,2015-12
2016-01-31,368.7669982910156,430.5669860839844,-14.353164499452431,-14.353164499452431,bull,2016,1,2016-01
2016-02-29,437.6969909667969,437.6969909667969,0.0,18.69201772263378,bull,2016,2,2016-02
2016-03-31,416.72900390625,437.6969909667969,-4.79052575029868,-4.79052575029868,bull,2016,3,2016-03
