regime_id,segment_id,frequency,regime,start_date,end_date,start_year_month,end_year_month,start_close,end_close,min_close,max_close,min_drawdown_pct,max_drawdown_pct,observation_count,duration_days,duration_years,segment_return_pct
daily_1,1,daily,bull,2014-09-17,2014-10-02,2014-09,2014-10,457.3340148925781,375.0719909667969,375.0719909667969,457.3340148925781,-17.987296209555627,0.0,16,16,0.04380561259411362,-17.987296209555627
daily_2,2,daily,bear,2014-10-03,2014-10-11,2014-10,2014-10,359.5119934082031,362.2990112304688,320.510009765625,365.0260009765625,-29.91774079150691,-20.18393797751903,9,9,0.024640657084188913,0.7752224886420356
daily_3,3,daily,bull,2014-10-12,2014-10-22,2014-10,2014-10,378.5490112304688,383.1579895019531,378.5490112304688,400.8699951171875,-17.227015943831535,-12.346341609568078,11,11,0.030116358658453114,1.2175380557732485
daily_4,4,daily,bear,2014-10-23,2014-11-09,2014-10,2014-11,358.4169921875,363.2640075683594,325.7489929199219,363.2640075683594,-28.772192246309046,-20.569212929922685,18,18,0.049281314168377825,1.352339729005858
daily_5,5,daily,bull,2014-11-10,2014-11-19,2014-11,2014-11,366.9240112304688,380.5549926757813,366.9240112304688,423.5610046386719,-19.76892177664621,-7.384758000525959,10,10,0.02737850787132101,3.7149330728183827
daily_6,6,daily,bear,2014-11-20,2014-11-22,2014-11,2014-11,357.8399963378906,352.9200134277344,350.8479919433594,357.8399963378906,-23.284081105192,-21.755219448974806,3,3,0.008213552361396304,-1.3749114018854813
daily_7,7,daily,bull,2014-11-23,2014-12-07,2014-11,2014-12,367.572998046875,375.0950012207031,367.572998046875,381.3150024414063,-19.627015249846835,-16.622208271350146,15,15,0.04106776180698152,2.0463971003846337
daily_8,8,daily,bear,2014-12-08,2015-11-02,2014-12,2015-11,361.9089965820313,361.1889953613281,178.10299682617188,361.9089965820313,-61.05625406673369,-20.86549768946465,330,330,0.9034907597535934,-0.19894537784445054
daily_9,9,daily,bull,2015-11-03,2015-11-09,2015-11,2015-11,403.4169921875,380.2569885253906,373.3680114746094,411.56298828125,-18.359885922259966,-10.008227055247387,7,7,0.019164955509924708,-5.740958886368642
daily_10,10,daily,bear,2015-11-10,2015-11-28,2015-11,2015-11,336.8190002441406,357.3810119628906,311.0840148925781,358.0419921875,-31.978815316055652,-21.71105132610802,19,19,0.05201916495550993,6.104765973370196
daily_11,11,daily,bull,2015-11-29,2015-11-30,2015-11,2015-11,371.29400634765625,377.3210144042969,371.29400634765625,377.3210144042969,-18.813384909742947,-17.49552796921857,2,2,0.0054757015742642025,1.6232441013328103
daily_12,12,daily,bear,2015-12-01,2015-12-04,2015-12,2015-12,362.4880065917969,363.1830139160156,359.18701171875,363.1830139160156,-21.460682997061042,-20.586922885820634,4,4,0.010951403148528405,0.1917325019256122
daily_13,13,daily,bull,2015-12-05,2016-01-14,2015-12,2016-01,388.9490051269531,430.3059997558594,388.7829895019531,465.3210144042969,-14.989268927815647,0.0,41,41,0.11225188227241616,10.633012061673043
daily_14,14,daily,bear,2016-01-15,2016-01-15,2016-01,2016-01,364.33099365234375,364.33099365234375,364.33099365234375,364.33099365234375,-21.703301081564163,-21.703301081564163,1,1,0.0027378507871321013,0.0
daily_15,15,daily,bull,2016-01-16,2016-01-30,2016-01,2016-01,387.5360107421875,378.2550048828125,378.2550048828125,420.2300109863281,-18.710955840441923,-9.69030024910742,15,15,0.04106776180698152,-2.3948757282195587
