regime_id,segment_id,frequency,regime,start_date,end_date,start_year_month,end_year_month,start_close,end_close,min_close,max_close,min_drawdown_pct,max_drawdown_pct,observation_count,duration_days,duration_years,segment_return_pct
monthly_1,1,monthly,bull,2014-09-30,2014-12-31,2014-09,2014-12,386.9440002441406,320.1929931640625,320.1929931640625,386.9440002441406,-17.250818474498086,0.0,4,93,0.2546201232032854,-17.250818474498086
monthly_2,2,monthly,bear,2015-01-31,2015-09-30,2015-01,2015-09,217.4640045166016,236.05999755859372,217.4640045166016,284.6499938964844,-43.799618451405465,-26.43638518315681,9,243,0.6652977412731006,8.551297067911978
monthly_3,3,monthly,bull,2015-10-31,2017-12-31,2015-10,2017-12,314.1659851074219,14156.400390625,314.1659851074219,14156.400390625,-18.808410284382184,0.0,27,793,2.1711156741957565,4406.0258149158135
monthly_4,4,monthly,bear,2018-01-31,2020-07-31,2018-01,2020-07,10221.099609375,11323.466796875,3457.792724609375,11323.466796875,-75.57435061741205,-20.01168033948867,31,913,2.4996577686516086,10.785211275006912
monthly_5,5,monthly,bull,2020-08-31,2020-08-31,2020-08,2020-08,11680.8203125,11680.8203125,11680.8203125,11680.8203125,-17.48735561170225,-17.48735561170225,1,1,0.0027378507871321013,0.0
monthly_6,6,monthly,bear,2020-09-30,2020-09-30,2020-09,2020-09,10784.4912109375,10784.4912109375,10784.4912109375,10784.4912109375,-23.818972949652718,-23.818972949652718,1,1,0.0027378507871321013,0.0
monthly_7,7,monthly,bull,2020-10-31,2021-04-30,2020-10,2021-04,13780.9951171875,57750.17578125,13780.9951171875,58918.83203125,-2.6518413090810156,0.0,7,182,0.49828884325804246,319.05664496771095
monthly_8,8,monthly,bear,2021-05-31,2021-07-31,2021-05,2021-07,37332.85546875,41626.1953125,35040.8359375,41626.1953125,-40.52693386909865,-29.349931291200992,3,62,0.1697467488021903,11.500164640081723
monthly_9,9,monthly,bull,2021-08-31,2021-08-31,2021-08,2021-08,47166.6875,47166.6875,47166.6875,47166.6875,-19.94632976603605,-19.94632976603605,1,1,0.0027378507871321013,0.0
monthly_10,10,monthly,bear,2021-09-30,2021-09-30,2021-09,2021-09,43790.89453125,43790.89453125,43790.89453125,43790.89453125,-25.675895088986632,-25.675895088986632,1,1,0.0027378507871321013,0.0
monthly_11,11,monthly,bull,2021-10-31,2021-11-30,2021-10,2021-11,61318.95703125,57005.42578125,57005.42578125,61318.95703125,-7.034580264960633,0.0,2,31,0.08487337440109514,-7.034580264960633
monthly_12,12,monthly,bear,2021-12-31,2024-01-31,2021-12,2024-01,46306.4453125,42582.60546875,16547.49609375,46306.4453125,-73.01406140140823,-24.48265992374784,26,762,2.086242299794661,-8.041731164246336
monthly_13,13,monthly,bull,2024-02-29,2025-10-31,2024-02,2025-10,61198.3828125,109556.1640625,58969.8984375,115758.203125,-19.389780606923658,0.0,21,611,1.672826830937714,79.0180704581016
monthly_14,14,monthly,bear,2025-11-30,2026-02-28,2025-11,2026-02,90394.3125,63018.984375,63018.984375,90394.3125,-45.55981116349071,-21.91109566344178,4,91,0.24914442162902123,-30.28434795054169
